Number_of_Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype,OBJECTID
23,2007,7,ADOPTION,WEB PF,697
3,2007,7,DIED,ENROUTE,698
6,2007,7,DIED,IN FOSTER,699
15,2007,7,DIED,IN KENNEL,700
1,2007,7,DIED,IN SURGERY,701
1,2007,7,DISPOSAL,DEAD ARRIV,702
12,2007,7,ET PROCESS,,703
4,2007,7,EUTH,,704
20,2007,7,EUTH,BEHAV HIST,705
172,2007,7,EUTH,BEHAV OBSV,706
60,2007,7,EUTH,BREED,707
130,2007,7,EUTH,CONTAG DIS,708
1,2007,7,EUTH,FELV,709
43,2007,7,EUTH,FERAL,710
151,2007,7,EUTH,MEDICAL,711
4,2007,7,EUTH,PREGNANT,712
89,2007,7,EUTH,REQUESTED,713
390,2007,7,EUTH,TIME/SPACE,714
12,2007,7,EUTH,TOO OLD,715
25,2007,7,EUTH,TOO YOUNG,716
7,2007,7,MISSING,IN KENNEL,717
1,2007,7,MISSING,STOLEN,718
19,2007,7,NO SHOW,,719
62,2007,7,RELEASED,,720
31,2007,7,RELEASED,IN SURGERY,721
2,2007,7,RELEASED,MEDICAL,722
96,2007,7,RTO,,723
4,2007,7,RTO,IN FIELD,724
1,2007,7,TRANSFER,,725
7,2007,7,TRANSFER,KHS,726
67,2007,7,TRANSFER,RESCUE GRP,727
16,2007,8,,,728
107,2007,8,ADOPTION,,729
1,2007,8,ADOPTION,FRIEND,730
1,2007,8,ADOPTION,TV WLKY,731
11,2007,8,ADOPTION,WALK IN,732
18,2007,8,ADOPTION,WEB PF,733
1,2007,8,DIED,,734
1,2007,8,DIED,AT VET,735
5,2007,8,DIED,ENROUTE,736
1,2007,8,DIED,IN FOSTER,737
7,2007,8,DIED,IN KENNEL,738
2,2007,8,DISPOSAL,,739
13,2007,8,ET PROCESS,,740
43,2007,8,EUTH,,741
33,2007,8,EUTH,BEHAV HIST,742
151,2007,8,EUTH,BEHAV OBSV,743
84,2007,8,EUTH,BREED,744
67,2007,8,EUTH,CONTAG DIS,745
19,2007,8,EUTH,FERAL,746
1,2007,8,EUTH,HEARTWORM,747
125,2007,8,EUTH,MEDICAL,748
2,2007,8,EUTH,PREGNANT,749
105,2007,8,EUTH,REQUESTED,750
319,2007,8,EUTH,TIME/SPACE,751
26,2007,8,EUTH,TOO OLD,752
83,2007,8,EUTH,TOO YOUNG,753
13,2007,8,MISSING,,754
2,2007,8,NO SHOW,,755
87,2007,8,RELEASED,,756
13,2007,8,RELEASED,IN SURGERY,757
1,2007,8,RELEASED,MEDICAL,758
78,2007,8,RTO,,759
12,2007,8,RTO,IN FIELD,760
4,2007,8,TRANSFER,,761
21,2007,8,TRANSFER,KHS,762
60,2007,8,TRANSFER,RESCUE GRP,763
1,2007,9,,,764
97,2007,9,ADOPTION,,765
3,2007,9,ADOPTION,REFERRAL,766
3,2007,9,ADOPTION,TV WLKY,767
25,2007,9,ADOPTION,WALK IN,768
16,2007,9,ADOPTION,WEB PF,769
2,2007,9,DIED,,770
5,2007,9,DIED,ENROUTE,771
9,2007,9,DIED,IN KENNEL,772
2,2007,9,ET PROCESS,,773
8,2007,9,EUTH,,774
25,2007,9,EUTH,BEHAV HIST,775
151,2007,9,EUTH,BEHAV OBSV,776
82,2007,9,EUTH,BREED,777
115,2007,9,EUTH,CONTAG DIS,778
42,2007,9,EUTH,FERAL,779
148,2007,9,EUTH,MEDICAL,780
39,2007,9,EUTH,REQUESTED,781
219,2007,9,EUTH,TIME/SPACE,782
19,2007,9,EUTH,TOO OLD,783
44,2007,9,EUTH,TOO YOUNG,784
1,2007,9,MISSING,,785
45,2007,9,RELEASED,,786
25,2007,9,RELEASED,IN SURGERY,787
102,2007,9,RTO,,788
4,2007,9,RTO,IN FIELD,789
77,2007,9,TRANSFER,,790
6,2007,9,TRANSFER,KHS,791
25,2007,9,TRANSFER,RESCUE GRP,792
1,2007,10,,,793
91,2007,10,ADOPTION,,794
4,2007,10,ADOPTION,FRIEND,795
1,2007,10,ADOPTION,PRV ADOPT,796
9,2007,10,ADOPTION,RADIO OTHR,797
1,2007,10,ADOPTION,TV WLKY,798
13,2007,10,ADOPTION,WALK IN,799
18,2007,10,ADOPTION,WEB PF,800
1,2007,10,DIED,,801
1,2007,10,DIED,IN FOSTER,802
10,2007,10,DIED,IN KENNEL,803
4,2007,10,DISPOSAL,,804
1,2007,10,ET PROCESS,BEHAV OBSV,805
1,2007,10,ET PROCESS,MEDICAL,806
8,2007,10,EUTH,,807
17,2007,10,EUTH,BEHAV HIST,808
148,2007,10,EUTH,BEHAV OBSV,809
91,2007,10,EUTH,BREED,810
159,2007,10,EUTH,CONTAG DIS,811
32,2007,10,EUTH,FERAL,812
135,2007,10,EUTH,MEDICAL,813
2,2007,10,EUTH,PREGNANT,814
86,2007,10,EUTH,REQUESTED,815
120,2007,10,EUTH,TIME/SPACE,816
21,2007,10,EUTH,TOO OLD,817
36,2007,10,EUTH,TOO YOUNG,818
9,2007,10,MISSING,,819
10,2007,10,MISSING,IN FOSTER,820
5,2007,10,MISSING,IN KENNEL,821
31,2007,10,RELEASED,,822
8,2007,10,RELEASED,IN SURGERY,823
122,2007,10,RTO,,824
10,2007,10,RTO,IN FIELD,825
4,2007,10,TRANSFER,,826
11,2007,10,TRANSFER,KHS,827
24,2007,10,TRANSFER,RESCUE GRP,828
97,2007,11,ADOPTION,,829
6,2007,11,ADOPTION,FRIEND,830
5,2007,11,ADOPTION,RADIO OTHR,831
3,2007,11,ADOPTION,REFERRAL,832
14,2007,11,ADOPTION,WALK IN,833
1,2007,11,ADOPTION,WEB METRO,834
12,2007,11,ADOPTION,WEB PF,835
6,2007,11,DIED,,836
3,2007,11,DIED,ENROUTE,837
8,2007,11,DIED,IN KENNEL,838
1,2007,11,DISPOSAL,DEAD ARRIV,839
1,2007,11,ET PROCESS,BEHAV HIST,840
1,2007,11,ET PROCESS,BEHAV OBSV,841
1,2007,11,ET PROCESS,MEDICAL,842
7,2007,11,EUTH,,843
26,2007,11,EUTH,BEHAV HIST,844
174,2007,11,EUTH,BEHAV OBSV,845
44,2007,11,EUTH,BREED,846
82,2007,11,EUTH,CONTAG DIS,847
1,2007,11,EUTH,FELV,848
11,2007,11,EUTH,FERAL,849
135,2007,11,EUTH,MEDICAL,850
2,2007,11,EUTH,PREGNANT,851
47,2007,11,EUTH,REQUESTED,852
205,2007,11,EUTH,TIME/SPACE,853
24,2007,11,EUTH,TOO OLD,854
24,2007,11,EUTH,TOO YOUNG,855
3,2007,11,MISSING,,856
1,2007,11,MISSING,IN KENNEL,857
1,2007,11,NO SHOW,,858
72,2007,11,RELEASED,,859
6,2007,11,RELEASED,IN SURGERY,860
1,2007,11,RELEASED,MEDICAL,861
144,2007,11,RTO,,862
8,2007,11,RTO,IN FIELD,863
21,2007,11,TRANSFER,,864
3,2007,11,TRANSFER,KHS,865
34,2007,11,TRANSFER,RESCUE GRP,866
81,2007,12,ADOPTION,,867
7,2007,12,ADOPTION,FRIEND,868
36,2007,12,ADOPTION,PROMO,869
1,2007,12,ADOPTION,RADIO WHAS,870
1,2007,12,ADOPTION,REFERRAL,871
2,2007,12,ADOPTION,TV OTHER,872
2,2007,12,ADOPTION,TV WHAS,873
48,2007,12,ADOPTION,WALK IN,874
3,2007,12,ADOPTION,WEB METRO,875
24,2007,12,ADOPTION,WEB PF,876
1,2007,12,DIED,,877
4,2007,12,DIED,ENROUTE,878
2,2007,12,DIED,IN FOSTER,879
7,2007,12,DIED,IN KENNEL,880
2,2007,12,DIED,IN SURGERY,881
1,2007,12,DISPOSAL,DEAD ARRIV,882
1,2007,12,ET PROCESS,BEHAV HIST,883
3,2007,12,ET PROCESS,BEHAV OBSV,884
1,2007,12,ET PROCESS,MEDICAL,885
3,2007,12,EUTH,,886
15,2007,12,EUTH,BEHAV HIST,887
137,2007,12,EUTH,BEHAV OBSV,888
41,2007,12,EUTH,BREED,889
70,2007,12,EUTH,CONTAG DIS,890
14,2007,12,EUTH,FERAL,891
104,2007,12,EUTH,MEDICAL,892
60,2007,12,EUTH,REQUESTED,893
103,2007,12,EUTH,TIME/SPACE,894
24,2007,12,EUTH,TOO OLD,895
3,2007,12,EUTH,TOO YOUNG,896
3,2007,12,MISSING,,897
1,2007,12,MISSING,IN KENNEL,898
46,2007,12,RELEASED,,899
3,2007,12,RELEASED,IN SURGERY,900
119,2007,12,RTO,,901
6,2007,12,RTO,IN FIELD,902
4,2007,12,TRANSFER,,903
9,2007,12,TRANSFER,KHS,904
19,2007,12,TRANSFER,RESCUE GRP,905
47,2008,1,ADOPTION,,906
10,2008,1,ADOPTION,FRIEND,907
38,2008,1,ADOPTION,PROMO,908
1,2008,1,ADOPTION,RADIO OTHR,909
4,2008,1,ADOPTION,REFERRAL,910
1,2008,1,ADOPTION,TV METRO,911
1,2008,1,ADOPTION,TV WHAS,912
63,2008,1,ADOPTION,WALK IN,913
13,2008,1,ADOPTION,WEB PF,914
2,2008,1,DIED,,915
4,2008,1,DIED,ENROUTE,916
7,2008,1,DIED,IN KENNEL,917
1,2008,1,DIED,IN SURGERY,918
7,2008,1,EUTH,,919
24,2008,1,EUTH,BEHAV HIST,920
141,2008,1,EUTH,BEHAV OBSV,921
60,2008,1,EUTH,BREED,922
72,2008,1,EUTH,CONTAG DIS,923
5,2008,1,EUTH,FERAL,924
75,2008,1,EUTH,MEDICAL,925
38,2008,1,EUTH,REQUESTED,926
96,2008,1,EUTH,TIME/SPACE,927
25,2008,1,EUTH,TOO OLD,928
2,2008,1,MISSING,IN KENNEL,929
53,2008,1,RELEASED,,930
9,2008,1,RELEASED,IN SURGERY,931
1,2008,1,RELEASED,MEDICAL,932
80,2008,1,RTO,,933
7,2008,1,RTO,IN FIELD,934
1,2008,1,TRANSFER,,935
5,2008,1,TRANSFER,KHS,936
31,2008,1,TRANSFER,RESCUE GRP,937
3,2008,1,TRANSFER,WILDLIFE,938
47,2008,2,ADOPTION,,939
31,2008,2,ADOPTION,FRIEND,940
10,2008,2,ADOPTION,PROMO,941
1,2008,2,ADOPTION,PRV ADOPT,942
1,2008,2,ADOPTION,RADIO MAX,943
1,2008,2,ADOPTION,RADIO OTHR,944
1,2008,2,ADOPTION,REFERRAL,945
1,2008,2,ADOPTION,TV METRO,946
7,2008,2,ADOPTION,TV OTHER,947
2,2008,2,ADOPTION,TV WHAS,948
59,2008,2,ADOPTION,WALK IN,949
17,2008,2,ADOPTION,WEB METRO,950
29,2008,2,ADOPTION,WEB PF,951
3,2008,2,DIED,,952
2,2008,2,DIED,ENROUTE,953
2,2008,2,DIED,IN KENNEL,954
1,2008,2,DISPOSAL,DEAD ARRIV,955
6,2008,2,EUTH,,956
13,2008,2,EUTH,BEHAV HIST,957
129,2008,2,EUTH,BEHAV OBSV,958
71,2008,2,EUTH,BREED,959
49,2008,2,EUTH,CONTAG DIS,960
5,2008,2,EUTH,FERAL,961
70,2008,2,EUTH,MEDICAL,962
35,2008,2,EUTH,REQUESTED,963
94,2008,2,EUTH,TIME/SPACE,964
17,2008,2,EUTH,TOO OLD,965
1,2008,2,MISSING,,966
47,2008,2,RELEASED,,967
1,2008,2,RELEASED,IN SURGERY,968
92,2008,2,RTO,,969
9,2008,2,RTO,IN FIELD,970
7,2008,2,TRANSFER,,971
24,2008,2,TRANSFER,KHS,972
14,2008,2,TRANSFER,RESCUE GRP,973
7,2008,3,ADOPTION,,974
22,2008,3,ADOPTION,FRIEND,975
4,2008,3,ADOPTION,PROMO,976
1,2008,3,ADOPTION,PRV ADOPT,977
2,2008,3,ADOPTION,RADIO OTHR,978
5,2008,3,ADOPTION,REFERRAL,979
1,2008,3,ADOPTION,TV OTHER,980
60,2008,3,ADOPTION,WALK IN,981
10,2008,3,ADOPTION,WEB METRO,982
38,2008,3,ADOPTION,WEB PF,983
1,2008,3,ADOPTION,WEB PH,984
2,2008,3,DIED,,985
3,2008,3,DIED,ENROUTE,986
1,2008,3,DIED,IN FOSTER,987
9,2008,3,DIED,IN KENNEL,988
1,2008,3,DIED,IN SURGERY,989
12,2008,3,EUTH,,990
13,2008,3,EUTH,BEHAV HIST,991
151,2008,3,EUTH,BEHAV OBSV,992
34,2008,3,EUTH,BREED,993
78,2008,3,EUTH,CONTAG DIS,994
5,2008,3,EUTH,FERAL,995
82,2008,3,EUTH,MEDICAL,996
2,2008,3,EUTH,PREGNANT,997
54,2008,3,EUTH,REQUESTED,998
71,2008,3,EUTH,TIME/SPACE,999
16,2008,3,EUTH,TOO OLD,1000
11,2008,3,EUTH,TOO YOUNG,1001
1,2008,3,MISSING,,1002
110,2008,3,RELEASED,,1003
2,2008,3,RELEASED,IN SURGERY,1004
101,2008,3,RTO,,1005
5,2008,3,RTO,IN FIELD,1006
2,2008,3,TRANSFER,CADIES CAB,1007
21,2008,3,TRANSFER,KHS,1008
76,2008,3,TRANSFER,RESCUE GRP,1009
1,2008,3,TRANSFER,WILDLIFE,1010
4,2008,4,ADOPTION,,1011
25,2008,4,ADOPTION,FRIEND,1012
26,2008,4,ADOPTION,PROMO,1013
8,2008,4,ADOPTION,PRV ADOPT,1014
7,2008,4,ADOPTION,REFERRAL,1015
2,2008,4,ADOPTION,TV OTHER,1016
1,2008,4,ADOPTION,TV WHAS,1017
64,2008,4,ADOPTION,WALK IN,1018
17,2008,4,ADOPTION,WEB METRO,1019
43,2008,4,ADOPTION,WEB PF,1020
1,2008,4,ADOPTION,WEB PH,1021
3,2008,4,DIED,,1022
1,2008,4,DIED,AT VET,1023
2,2008,4,DIED,ENROUTE,1024
3,2008,4,DIED,IN FOSTER,1025
4,2008,4,DIED,IN KENNEL,1026
2,2008,4,DIED,IN SURGERY,1027
12,2008,4,EUTH,,1028
20,2008,4,EUTH,BEHAV HIST,1029
147,2008,4,EUTH,BEHAV OBSV,1030
45,2008,4,EUTH,BREED,1031
70,2008,4,EUTH,CONTAG DIS,1032
9,2008,4,EUTH,FERAL,1033
64,2008,4,EUTH,MEDICAL,1034
44,2008,4,EUTH,REQUESTED,1035
103,2008,4,EUTH,TIME/SPACE,1036
24,2008,4,EUTH,TOO OLD,1037
51,2008,4,EUTH,TOO YOUNG,1038
1,2008,4,MISSING,IN KENNEL,1039
73,2008,4,RELEASED,,1040
1,2008,4,RELEASED,MEDICAL,1041
106,2008,4,RTO,,1042
11,2008,4,RTO,IN FIELD,1043
15,2008,4,TRANSFER,,1044
2,2008,4,TRANSFER,CADIES CAB,1045
13,2008,4,TRANSFER,KHS,1046
67,2008,4,TRANSFER,RESCUE GRP,1047
1,2008,4,TRANSFER,WILDLIFE,1048
6,2008,5,ADOPTION,,1049
19,2008,5,ADOPTION,FRIEND,1050
25,2008,5,ADOPTION,PROMO,1051
3,2008,5,ADOPTION,PRV ADOPT,1052
8,2008,5,ADOPTION,REFERRAL,1053
1,2008,5,ADOPTION,TV WLKY,1054
83,2008,5,ADOPTION,WALK IN,1055
10,2008,5,ADOPTION,WEB METRO,1056
19,2008,5,ADOPTION,WEB PF,1057
7,2008,5,DIED,,1058
3,2008,5,DIED,ENROUTE,1059
16,2008,5,DIED,IN FOSTER,1060
7,2008,5,DIED,IN KENNEL,1061
1,2008,5,DISPOSAL,,1062
17,2008,5,EUTH,,1063
26,2008,5,EUTH,BEHAV HIST,1064
178,2008,5,EUTH,BEHAV OBSV,1065
26,2008,5,EUTH,BREED,1066
83,2008,5,EUTH,CONTAG DIS,1067
5,2008,5,EUTH,FERAL,1068
106,2008,5,EUTH,MEDICAL,1069
51,2008,5,EUTH,REQUESTED,1070
99,2008,5,EUTH,TIME/SPACE,1071
38,2008,5,EUTH,TOO OLD,1072
62,2008,5,EUTH,TOO YOUNG,1073
3,2008,5,MISSING,IN KENNEL,1074
70,2008,5,RELEASED,,1075
3,2008,5,RELOCATE,,1076
145,2008,5,RTO,,1077
12,2008,5,RTO,IN FIELD,1078
2,2008,5,TRANSFER,,1079
16,2008,5,TRANSFER,KHS,1080
230,2008,5,TRANSFER,RESCUE GRP,1081
6,2008,6,ADOPTION,,1082
19,2008,6,ADOPTION,FRIEND,1083
26,2008,6,ADOPTION,PROMO,1084
3,2008,6,ADOPTION,PRV ADOPT,1085
1,2008,6,ADOPTION,RADIO OTHR,1086
2,2008,6,ADOPTION,REFERRAL,1087
1,2008,6,ADOPTION,TV METRO,1088
2,2008,6,ADOPTION,TV OTHER,1089
66,2008,6,ADOPTION,WALK IN,1090
10,2008,6,ADOPTION,WEB METRO,1091
35,2008,6,ADOPTION,WEB PF,1092
5,2008,6,DIED,,1093
5,2008,6,DIED,ENROUTE,1094
15,2008,6,DIED,IN FOSTER,1095
11,2008,6,DIED,IN KENNEL,1096
1,2008,6,DIED,IN SURGERY,1097
32,2008,6,EUTH,,1098
20,2008,6,EUTH,BEHAV HIST,1099
154,2008,6,EUTH,BEHAV OBSV,1100
65,2008,6,EUTH,BREED,1101
130,2008,6,EUTH,CONTAG DIS,1102
1,2008,6,EUTH,FELV,1103
22,2008,6,EUTH,FERAL,1104
112,2008,6,EUTH,MEDICAL,1105
83,2008,6,EUTH,REQUESTED,1106
185,2008,6,EUTH,TIME/SPACE,1107
24,2008,6,EUTH,TOO OLD,1108
124,2008,6,EUTH,TOO YOUNG,1109
3,2008,6,MISSING,,1110
4,2008,6,MISSING,IN KENNEL,1111
1,2008,6,NO SHOW,,1112
74,2008,6,RELEASED,,1113
2,2008,6,RELEASED,IN SURGERY,1114
3,2008,6,RELOCATE,,1115
103,2008,6,RTO,,1116
14,2008,6,RTO,IN FIELD,1117
29,2008,6,TRANSFER,KHS,1118
151,2008,6,TRANSFER,RESCUE GRP,1119
1,2008,7,,,1120
1,2008,7,ADOPTION,,1121
8,2008,7,ADOPTION,FRIEND,1122
30,2008,7,ADOPTION,PROMO,1123
15,2008,7,ADOPTION,PRV ADOPT,1124
2,2008,7,ADOPTION,RADIO MAX,1125
8,2008,7,ADOPTION,REFERRAL,1126
1,2008,7,ADOPTION,TV METRO,1127
2,2008,7,ADOPTION,TV OTHER,1128
65,2008,7,ADOPTION,WALK IN,1129
11,2008,7,ADOPTION,WEB METRO,1130
30,2008,7,ADOPTION,WEB PF,1131
11,2008,7,DIED,,1132
1,2008,7,DIED,ENROUTE,1133
8,2008,7,DIED,IN FOSTER,1134
6,2008,7,DIED,IN KENNEL,1135
23,2008,7,EUTH,,1136
21,2008,7,EUTH,BEHAV HIST,1137
138,2008,7,EUTH,BEHAV OBSV,1138
82,2008,7,EUTH,BREED,1139
112,2008,7,EUTH,CONTAG DIS,1140
36,2008,7,EUTH,FERAL,1141
136,2008,7,EUTH,MEDICAL,1142
46,2008,7,EUTH,REQUESTED,1143
306,2008,7,EUTH,TIME/SPACE,1144
32,2008,7,EUTH,TOO OLD,1145
180,2008,7,EUTH,TOO YOUNG,1146
4,2008,7,MISSING,,1147
4,2008,7,MISSING,IN FOSTER,1148
5,2008,7,MISSING,IN KENNEL,1149
67,2008,7,RELEASED,,1150
1,2008,7,RELEASED,IN SURGERY,1151
145,2008,7,RTO,,1152
8,2008,7,RTO,IN FIELD,1153
1,2008,7,TRANSFER,,1154
18,2008,7,TRANSFER,KHS,1155
98,2008,7,TRANSFER,RESCUE GRP,1156
5,2008,8,ADOPTION,,1157
1,2008,8,ADOPTION,BARKSTOWN,1158
14,2008,8,ADOPTION,FRIEND,1159
79,2008,8,ADOPTION,PROMO,1160
3,2008,8,ADOPTION,PRV ADOPT,1161
1,2008,8,ADOPTION,RADIO WHAS,1162
4,2008,8,ADOPTION,REFERRAL,1163
3,2008,8,ADOPTION,TV OTHER,1164
51,2008,8,ADOPTION,WALK IN,1165
9,2008,8,ADOPTION,WEB METRO,1166
5,2008,8,ADOPTION,WEB PF,1167
5,2008,8,DIED,,1168
1,2008,8,DIED,AT VET,1169
4,2008,8,DIED,ENROUTE,1170
8,2008,8,DIED,IN FOSTER,1171
11,2008,8,DIED,IN KENNEL,1172
37,2008,8,EUTH,,1173
20,2008,8,EUTH,BEHAV HIST,1174
174,2008,8,EUTH,BEHAV OBSV,1175
42,2008,8,EUTH,BREED,1176
135,2008,8,EUTH,CONTAG DIS,1177
57,2008,8,EUTH,FERAL,1178
144,2008,8,EUTH,MEDICAL,1179
1,2008,8,EUTH,PREGNANT,1180
66,2008,8,EUTH,REQUESTED,1181
290,2008,8,EUTH,TIME/SPACE,1182
13,2008,8,EUTH,TOO OLD,1183
139,2008,8,EUTH,TOO YOUNG,1184
3,2008,8,MISSING,IN KENNEL,1185
1,2008,8,MISSING,STOLEN,1186
70,2008,8,RELEASED,,1187
1,2008,8,RELEASED,MEDICAL,1188
1,2008,8,RELOCATE,,1189
127,2008,8,RTO,,1190
4,2008,8,RTO,IN FIELD,1191
5,2008,8,TRANSFER,,1192
17,2008,8,TRANSFER,KHS,1193
9,2008,8,TRANSFER,RES WAGGIN,1194
62,2008,8,TRANSFER,RESCUE GRP,1195
1,2008,8,TRANSFER,WILDLIFE,1196
9,2008,9,ADOPTION,,1197
10,2008,9,ADOPTION,3RD PARTY,1198
19,2008,9,ADOPTION,FRIEND,1199
21,2008,9,ADOPTION,PROMO,1200
7,2008,9,ADOPTION,PRV ADOPT,1201
3,2008,9,ADOPTION,PS HURST,1202
5,2008,9,ADOPTION,PS OUTER,1203
7,2008,9,ADOPTION,PS WEST,1204
1,2008,9,ADOPTION,TV METRO,1205
4,2008,9,ADOPTION,TV OTHER,1206
2,2008,9,ADOPTION,TV WHAS,1207
45,2008,9,ADOPTION,WALK IN,1208
14,2008,9,ADOPTION,WEB METRO,1209
26,2008,9,ADOPTION,WEB PF,1210
6,2008,9,DIED,,1211
3,2008,9,DIED,ENROUTE,1212
8,2008,9,DIED,IN FOSTER,1213
11,2008,9,DIED,IN KENNEL,1214
1,2008,9,DISPOSAL,DEAD ARRIV,1215
12,2008,9,EUTH,,1216
35,2008,9,EUTH,BEHAV HIST,1217
170,2008,9,EUTH,BEHAV OBSV,1218
49,2008,9,EUTH,BREED,1219
141,2008,9,EUTH,CONTAG DIS,1220
35,2008,9,EUTH,FERAL,1221
120,2008,9,EUTH,MEDICAL,1222
1,2008,9,EUTH,PREGNANT,1223
52,2008,9,EUTH,REQUESTED,1224
195,2008,9,EUTH,TIME/SPACE,1225
32,2008,9,EUTH,TOO OLD,1226
204,2008,9,EUTH,TOO YOUNG,1227
1,2008,9,MISSING,,1228
1,2008,9,MISSING,ENROUTE,1229
4,2008,9,MISSING,IN KENNEL,1230
55,2008,9,RELEASED,,1231
4,2008,9,RELOCATE,,1232
121,2008,9,RTO,,1233
8,2008,9,RTO,IN FIELD,1234
2,2008,9,TRANSFER,,1235
8,2008,9,TRANSFER,KHS,1236
1,2008,9,TRANSFER,RES WAGGIN,1237
44,2008,9,TRANSFER,RESCUE GRP,1238
10,2008,9,TRANSFER,WILDLIFE,1239
3,2008,10,ADOPTION,3RD PARTY,1240
1,2008,10,ADOPTION,BARKSTOWN,1241
37,2008,10,ADOPTION,FRIEND,1242
23,2008,10,ADOPTION,PROMO,1243
7,2008,10,ADOPTION,PRV ADOPT,1244
1,2008,10,ADOPTION,RADIO OTHR,1245
2,2008,10,ADOPTION,REFERRAL,1246
3,2008,10,ADOPTION,TV METRO,1247
3,2008,10,ADOPTION,TV OTHER,1248
38,2008,10,ADOPTION,WALK IN,1249
17,2008,10,ADOPTION,WEB METRO,1250
17,2008,10,ADOPTION,WEB PF,1251
1,2008,10,DIED,,1252
1,2008,10,DIED,AT VET,1253
1,2008,10,DIED,ENROUTE,1254
10,2008,10,DIED,IN FOSTER,1255
18,2008,10,DIED,IN KENNEL,1256
4,2008,10,EUTH,,1257
36,2008,10,EUTH,BEHAV HIST,1258
207,2008,10,EUTH,BEHAV OBSV,1259
57,2008,10,EUTH,BREED,1260
121,2008,10,EUTH,CONTAG DIS,1261
38,2008,10,EUTH,FERAL,1262
126,2008,10,EUTH,MEDICAL,1263
60,2008,10,EUTH,REQUESTED,1264
227,2008,10,EUTH,TIME/SPACE,1265
32,2008,10,EUTH,TOO OLD,1266
125,2008,10,EUTH,TOO YOUNG,1267
1,2008,10,MISSING,IN FOSTER,1268
3,2008,10,MISSING,IN KENNEL,1269
106,2008,10,RELEASED,,1270
3,2008,10,RELEASED,IN SURGERY,1271
1,2008,10,RELEASED,MEDICAL,1272
126,2008,10,RTO,,1273
8,2008,10,RTO,IN FIELD,1274
1,2008,10,TRANSFER,,1275
11,2008,10,TRANSFER,KHS,1276
25,2008,10,TRANSFER,RES WAGGIN,1277
74,2008,10,TRANSFER,RESCUE GRP,1278
5,2008,11,ADOPTION,,1279
3,2008,11,ADOPTION,3RD PARTY,1280
4,2008,11,ADOPTION,AAA,1281
1,2008,11,ADOPTION,BARKSTOWN,1282
17,2008,11,ADOPTION,FRIEND,1283
25,2008,11,ADOPTION,PROMO,1284
10,2008,11,ADOPTION,PRV ADOPT,1285
5,2008,11,ADOPTION,REFERRAL,1286
1,2008,11,ADOPTION,TV WLKY,1287
41,2008,11,ADOPTION,WALK IN,1288
20,2008,11,ADOPTION,WEB METRO,1289
30,2008,11,ADOPTION,WEB PF,1290
1,2008,11,DIED,,1291
2,2008,11,DIED,IN FOSTER,1292
7,2008,11,DIED,IN KENNEL,1293
17,2008,11,EUTH,BEHAV HIST,1294
173,2008,11,EUTH,BEHAV OBSV,1295
55,2008,11,EUTH,BREED,1296
131,2008,11,EUTH,CONTAG DIS,1297
56,2008,11,EUTH,FERAL,1298
2,2008,11,EUTH,HEARTWORM,1299
82,2008,11,EUTH,MEDICAL,1300
50,2008,11,EUTH,REQUESTED,1301
130,2008,11,EUTH,TIME/SPACE,1302
26,2008,11,EUTH,TOO OLD,1303
74,2008,11,EUTH,TOO YOUNG,1304
2,2008,11,MISSING,,1305
3,2008,11,MISSING,IN KENNEL,1306
90,2008,11,RELEASED,,1307
1,2008,11,RELOCATE,,1308
124,2008,11,RTO,,1309
8,2008,11,RTO,IN FIELD,1310
5,2008,11,TRANSFER,,1311
12,2008,11,TRANSFER,KHS,1312
60,2008,11,TRANSFER,RESCUE GRP,1313
3,2008,11,TRANSFER,WILDLIFE,1314
3,2008,12,ADOPTION,,1315
5,2008,12,ADOPTION,3RD PARTY,1316
29,2008,12,ADOPTION,AAA,1317
5,2008,12,ADOPTION,BARKSTOWN,1318
15,2008,12,ADOPTION,FRIEND,1319
20,2008,12,ADOPTION,PROMO,1320
17,2008,12,ADOPTION,PRV ADOPT,1321
2,2008,12,ADOPTION,REFERRAL,1322
2,2008,12,ADOPTION,TV OTHER,1323
1,2008,12,ADOPTION,TV WHAS,1324
97,2008,12,ADOPTION,WALK IN,1325
31,2008,12,ADOPTION,WEB METRO,1326
36,2008,12,ADOPTION,WEB PF,1327
1,2008,12,ADOPTION,WEB PH,1328
1,2008,12,DIED,,1329
1,2008,12,DIED,ENROUTE,1330
4,2008,12,DIED,IN FOSTER,1331
6,2008,12,DIED,IN KENNEL,1332
1,2008,12,DISPOSAL,DEAD ARRIV,1333
3,2008,12,EUTH,,1334
20,2008,12,EUTH,BEHAV HIST,1335
125,2008,12,EUTH,BEHAV OBSV,1336
60,2008,12,EUTH,BREED,1337
107,2008,12,EUTH,CONTAG DIS,1338
10,2008,12,EUTH,FERAL,1339
78,2008,12,EUTH,MEDICAL,1340
41,2008,12,EUTH,REQUESTED,1341
42,2008,12,EUTH,TIME/SPACE,1342
25,2008,12,EUTH,TOO OLD,1343
9,2008,12,EUTH,TOO YOUNG,1344
1,2008,12,MISSING,IN FOSTER,1345
2,2008,12,MISSING,IN KENNEL,1346
107,2008,12,RELEASED,,1347
1,2008,12,RELOCATE,,1348
172,2008,12,RTO,,1349
8,2008,12,RTO,IN FIELD,1350
1,2008,12,TRANSFER,,1351
16,2008,12,TRANSFER,KHS,1352
