IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH,ObjectId
QUARANTINE,STRAY,1,2008,9,652
CONFISCATE,,3,2008,6,653
QUARANTINE,STRAY,5,2007,10,654
RETURN,OTC,15,2008,9,655
CONFISCATE,ABANDONED,1,2008,6,656
RETURN,FIELD,1,2007,10,657
STRAY,FIELD,541,2008,9,658
CONFISCATE,BITE,2,2008,6,659
RETURN,OTC,4,2007,10,660
STRAY,OTC,429,2008,9,661
CONFISCATE,DANGER DOG,1,2008,6,662
STRAY,,4,2007,10,663
TRANSFER,AN CONTROL,1,2008,9,664
CONFISCATE,NEGLECT,34,2008,6,665
STRAY,FIELD,415,2007,10,666
CONFISCATE,ABANDONED,9,2008,10,667
CONFISCATE,POLICE,1,2008,6,668
STRAY,OTC,336,2007,10,669
CONFISCATE,BITE,2,2008,10,670
CONFISCATE,POTDANGER,1,2008,6,671
CONFISCATE,ABANDONED,1,2007,11,672
CONFISCATE,CHAINING,8,2008,10,673
CONFISCATE,UNPERMITED,5,2008,6,674
CONFISCATE,BITE,6,2007,11,675
CONFISCATE,CRUELTY,1,2008,10,676
EUTH REQ,FIELD OWN,11,2008,6,677
EUTH REQ,OTC OWNED,71,2008,6,678
INVESTIGAT,POTDANGER,1,2008,6,679
OUTSURGERY,,73,2008,6,680
OWNER SUR,,2,2008,6,681
OWNER SUR,FIELD,66,2008,6,682
CONFISCATE,DANGER DOG,1,2008,10,683
CONFISCATE,NEGLECT,33,2008,10,684
CONFISCATE,POTDANGER,2,2008,10,685
CONFISCATE,UNPERMITED,22,2008,10,686
EUTH REQ,,2,2008,10,687
EUTH REQ,FIELD OWN,11,2008,10,688
EUTH REQ,OTC OWNED,46,2008,10,689
INVESTIGAT,,1,2008,10,690
OUTSURGERY,,93,2008,10,691
CONFISCATE,CRUELTY,1,2007,11,692
CONFISCATE,NEGLECT,31,2007,11,693
CONFISCATE,POTDANGER,2,2007,11,694
CONFISCATE,UNPERMITED,12,2007,11,695
EUTH REQ,,2,2007,11,696
EUTH REQ,FIELD OWN,3,2007,11,697
EUTH REQ,OTC OWNED,45,2007,11,698
INVESTIGAT,DANGER DOG,1,2007,11,699
OUTSURGERY,,102,2007,11,700
OWNER SUR,OTC,302,2008,6,701
QUARANTINE,MAS,21,2008,6,702
QUARANTINE,OWNER,4,2008,6,703
QUARANTINE,STRAY,2,2008,6,704
RETURN,FIELD,6,2008,6,705
RETURN,OTC,12,2008,6,706
STRAY,,8,2008,6,707
STRAY,FIELD,521,2008,6,708
STRAY,OTC,453,2008,6,709
CONFISCATE,,2,2008,7,710
CONFISCATE,BITE,1,2008,7,711
CONFISCATE,CRUELTY,4,2008,7,712
CONFISCATE,FIELD,4,2008,7,713
CONFISCATE,NEGLECT,18,2008,7,714
CONFISCATE,POTDANGER,4,2008,7,715
CONFISCATE,UNPERMITED,20,2008,7,716
EUTH REQ,FIELD,1,2008,7,717
EUTH REQ,FIELD OWN,1,2008,7,718
EUTH REQ,MAS,1,2008,7,719
EUTH REQ,OTC,18,2008,7,720
EUTH REQ,OTC OWNED,33,2008,7,721
EUTH REQ,OWNER,1,2008,7,722
EUTH REQ,OWNER SUR,1,2008,7,723
OUTSURGERY,,65,2008,7,724
OWNER SUR,,1,2008,7,725
OWNER SUR,FIELD,59,2008,7,726
OWNER SUR,FIELD OWN,1,2008,7,727
OWNER SUR,NEGLECT,2,2008,7,728
OWNER SUR,OTC,405,2008,7,729
OWNER SUR,OWNER SUR,2,2008,7,730
OWNER SUR,STRAY,2,2008,7,731
QUARANTINE,FIELD,4,2008,7,732
QUARANTINE,MAS,18,2008,7,733
QUARANTINE,OTC,1,2008,7,734
QUARANTINE,OWNER,3,2008,7,735
QUARANTINE,STRAY,4,2008,7,736
RETURN,,2,2008,7,737
RETURN,FIELD,2,2008,7,738
RETURN,OTC,17,2008,7,739
STRAY,FIELD,456,2008,7,740
STRAY,OTC,446,2008,7,741
STRAY,STRAY,14,2008,7,742
TRANSFER,FIELD,1,2008,7,743
CONFISCATE,ABANDONED,4,2008,8,744
CONFISCATE,BITE,1,2008,8,745
CONFISCATE,CHAINING,7,2008,8,746
CONFISCATE,DANGER DOG,1,2008,8,747
CONFISCATE,FIELD,1,2008,8,748
CONFISCATE,NEGLECT,38,2008,8,749
CONFISCATE,POTDANGER,1,2008,8,750
QUARANTINE,STRAY,11,2007,6,751
RETURN,OTC,7,2007,6,752
STRAY,FIELD,436,2007,6,753
STRAY,OTC,412,2007,6,754
TRANSFER,,1,2007,6,755
TRANSFER,AN CONTROL,1,2007,6,756
CONFISCATE,,2,2007,7,757
CONFISCATE,CRUELTY,10,2007,7,758
CONFISCATE,NEGLECT,26,2007,7,759
CONFISCATE,POLICE,2,2007,7,760
CONFISCATE,POTDANGER,5,2007,7,761
CONFISCATE,UNPERMITED,2,2007,7,762
EUTH REQ,FIELD OWN,12,2007,7,763
EUTH REQ,OTC OWNED,76,2007,7,764
INVESTIGAT,,1,2007,7,765
INVESTIGAT,POTDANGER,5,2007,7,766
OUTSURGERY,,108,2007,7,767
OWNER SUR,FIELD,60,2007,7,768
OWNER SUR,OTC,308,2007,7,769
QUARANTINE,MAS,2,2007,7,770
QUARANTINE,OWNER,5,2007,7,771
QUARANTINE,STRAY,11,2007,7,772
RETURN,FIELD,3,2007,7,773
RETURN,OTC,6,2007,7,774
STRAY,,1,2007,7,775
STRAY,FIELD,481,2007,7,776
STRAY,OTC,449,2007,7,777
CONFISCATE,,1,2007,8,778
CONFISCATE,ABANDONED,1,2007,8,779
CONFISCATE,DANGER DOG,1,2007,8,780
CONFISCATE,NEGLECT,20,2007,8,781
CONFISCATE,POLICE,3,2007,8,782
CONFISCATE,UNPERMITED,12,2007,8,783
EUTH REQ,FIELD OWN,15,2007,8,784
EUTH REQ,OTC OWNED,75,2007,8,785
INVESTIGAT,POTDANGER,2,2007,8,786
OUTSURGERY,,96,2007,8,787
OWNER SUR,,2,2007,8,788
OWNER SUR,FIELD,60,2007,8,789
OWNER SUR,OTC,335,2007,8,790
QUARANTINE,MAS,6,2007,8,791
QUARANTINE,OWNER,5,2007,8,792
QUARANTINE,STRAY,6,2007,8,793
RETURN,FIELD,1,2007,8,794
RETURN,OTC,9,2007,8,795
STRAY,FIELD,457,2007,8,796
STRAY,OTC,328,2007,8,797
CONFISCATE,,5,2007,9,798
CONFISCATE,BITE,1,2007,9,799
CONFISCATE,EVICTION,2,2007,9,800
STRAY,FIELD,419,2009,10,801
STRAY,OTC,464,2009,10,802
CONFISCATE,,1,2009,11,803
CONFISCATE,BITE,1,2009,11,804
CONFISCATE,CHAINING,5,2009,11,805
CONFISCATE,CRUELTY,1,2009,11,806
CONFISCATE,NEGLECT,15,2009,11,807
CONFISCATE,POLICE,1,2009,11,808
EUTH REQ,FIELD OWN,8,2009,11,809
EUTH REQ,OTC OWNED,46,2009,11,810
OUTSURGERY,,42,2009,11,811
OWNER SUR,,1,2009,11,812
OWNER SUR,FIELD,31,2009,11,813
OWNER SUR,OTC,184,2009,11,814
QUARANTINE,MAS,8,2009,11,815
QUARANTINE,STRAY,4,2009,11,816
RETURN,FIELD,1,2009,11,817
RETURN,OTC,33,2009,11,818
STRAY,FIELD,339,2009,11,819
STRAY,OTC,313,2009,11,820
CONFISCATE,ABANDONED,1,2009,12,821
CONFISCATE,CHAINING,8,2009,12,822
CONFISCATE,NEGLECT,4,2009,12,823
CONFISCATE,POLICE,1,2009,12,824
CONFISCATE,UNPERMITED,4,2009,8,825
CONFISCATE,RESTRAINT,1,2009,12,826
EUTH REQ,FIELD OWN,3,2009,12,827
EUTH REQ,OTC OWNED,49,2009,12,828
EUTH REQ,FIELD OWN,8,2009,8,829
OUTSURGERY,,47,2009,12,830
CONFISCATE,CRUELTY,3,2010,6,831
EUTH REQ,OTC OWNED,58,2009,8,832
OUTSURGERY,NEUTER,1,2009,12,833
CONFISCATE,EVICTION,3,2010,6,834
RETURN,OTC,31,2010,3,835
OUTSURGERY,,20,2009,8,836
OWNER SUR,,2,2009,12,837
CONFISCATE,NEGLECT,124,2010,6,838
STRAY,FIELD,377,2010,3,839
OWNER SUR,FIELD,37,2009,8,840
OWNER SUR,FIELD,36,2009,12,841
CONFISCATE,POTDANGER,1,2010,6,842
STRAY,OTC,275,2010,3,843
OWNER SUR,OTC,260,2009,8,844
OWNER SUR,OTC,199,2009,12,845
CONFISCATE,RESTRAINT,3,2010,6,846
TRANSFER,AN CONTROL,1,2010,3,847
QUARANTINE,MAS,13,2009,8,848
QUARANTINE,MAS,3,2009,12,849
EUTH REQ,,1,2010,6,850
CONFISCATE,ABANDONED,1,2010,4,851
QUARANTINE,OWNER,1,2009,8,852
QUARANTINE,OWNER,1,2009,12,853
EUTH REQ,FIELD OWN,7,2010,6,854
CONFISCATE,BITE,1,2010,4,855
RETURN,FIELD,2,2009,8,856
RETURN,,1,2009,12,857
EUTH REQ,OTC OWNED,53,2010,6,858
CONFISCATE,CHAINING,4,2010,4,859
RETURN,OTC,19,2009,8,860
RETURN,FIELD,1,2009,12,861
INVESTIGAT,DANGER DOG,1,2010,6,862
CONFISCATE,CRUELTY,1,2010,4,863
STRAY,FIELD,496,2009,8,864
RETURN,FOSTER,1,2009,12,865
KHS,,1,2010,6,866
CONFISCATE,DANGER DOG,1,2010,4,867
STRAY,OTC,419,2009,8,868
RETURN,OTC,11,2009,12,869
OUTSURGERY,,47,2010,6,870
CONFISCATE,NEGLECT,10,2010,4,871
CONFISCATE,BITE,2,2009,9,872
RETURN,OTC,35,2009,3,873
STRAY,FIELD,253,2009,12,874
OUTSURGERY,NEUTER,7,2010,6,875
CONFISCATE,RESTRAINT,8,2010,4,876
CONFISCATE,CHAINING,20,2009,9,877
STRAY,OTC,267,2009,12,878
STRAY,FIELD,346,2009,3,879
OWNER SUR,,6,2010,6,880
EUTH REQ,,1,2010,4,881
CONFISCATE,CRUELTY,2,2009,9,882
CONFISCATE,,2,2010,1,883
STRAY,OTC,262,2009,3,884
OWNER SUR,FIELD,49,2010,6,885
EUTH REQ,FIELD OWN,7,2010,4,886
CONFISCATE,EVICTION,1,2009,9,887
CONFISCATE,ABANDONED,3,2010,1,888
CONFISCATE,,2,2009,4,889
OWNER SUR,OTC,239,2010,6,890
EUTH REQ,OTC OWNED,45,2010,4,891
CONFISCATE,NEGLECT,19,2009,9,892
CONFISCATE,CHAINING,3,2010,1,893
CONFISCATE,ABANDONED,3,2009,4,894
QUARANTINE,MAS,4,2010,6,895
OUTSURGERY,,53,2010,4,896
CONFISCATE,POLICE,1,2009,9,897
CONFISCATE,CRUELTY,1,2010,1,898
CONFISCATE,CHAINING,50,2009,4,899
QUARANTINE,OWNER,4,2010,6,900
OWNER SUR,,3,2010,4,901
OWNER SUR,FIELD,93,2010,4,902
OWNER SUR,OTC,163,2010,4,903
QUARANTINE,MAS,4,2010,4,904
RETURN,ADOPTION,2,2010,4,905
RETURN,OTC,18,2010,4,906
STRAY,,2,2010,4,907
STRAY,FIELD,444,2010,4,908
STRAY,OTC,330,2010,4,909
CONFISCATE,ABANDONED,5,2010,5,910
CONFISCATE,BITE,3,2010,5,911
CONFISCATE,CHAINING,5,2010,5,912
CONFISCATE,NEGLECT,28,2010,5,913
CONFISCATE,POTDANGER,2,2010,5,914
CONFISCATE,RESTRAINT,5,2010,5,915
CONFISCATE,UNPERMITED,6,2010,5,916
EUTH REQ,,3,2010,5,917
EUTH REQ,FIELD OWN,7,2010,5,918
EUTH REQ,OTC OWNED,43,2010,5,919
INVESTIGAT,POTDANGER,1,2010,5,920
OUTSURGERY,,51,2010,5,921
OWNER SUR,,7,2010,5,922
OWNER SUR,FIELD,45,2010,5,923
OWNER SUR,OTC,179,2010,5,924
QUARANTINE,MAS,4,2010,5,925
QUARANTINE,OWNER,3,2010,5,926
QUARANTINE,STRAY,2,2010,5,927
RETURN,FIELD,2,2010,5,928
RETURN,OTC,23,2010,5,929
STRAY,,44,2010,5,930
STRAY,FIELD,463,2010,5,931
STRAY,OTC,338,2010,5,932
CONFISCATE,ABANDONED,4,2010,6,933
CONFISCATE,BITE,2,2010,6,934
CONFISCATE,CHAINING,5,2010,6,935
INVESTIGAT,POTDANGER,1,2009,1,936
CONFISCATE,POTDANGER,2,2009,9,937
QUARANTINE,STRAY,1,2010,6,938
CONFISCATE,RESTRAINT,10,2009,9,939
RETURN,FIELD,1,2010,6,940
CONFISCATE,UNPERMITED,2,2009,9,941
RETURN,OTC,21,2010,6,942
EUTH REQ,FIELD OWN,7,2009,9,943
STRAY,FIELD,494,2010,6,944
EUTH REQ,OTC OWNED,42,2009,9,945
CONFISCATE,DANGER DOG,2,2009,4,946
STRAY,OTC,488,2010,6,947
OUTSURGERY,,40,2009,9,948
CONFISCATE,EVICTION,1,2009,4,949
CONFISCATE,DANGER DOG,1,2010,1,950
CONFISCATE,CHAINING,3,2010,7,951
OWNER SUR,FIELD,52,2009,9,952
CONFISCATE,NEGLECT,14,2009,4,953
CONFISCATE,NEGLECT,8,2010,1,954
CONFISCATE,CRUELTY,15,2010,7,955
OWNER SUR,OTC,285,2009,9,956
CONFISCATE,POTDANGER,3,2009,4,957
CONFISCATE,POLICE,1,2010,1,958
CONFISCATE,DANGER DOG,1,2010,7,959
QUARANTINE,MAS,9,2009,9,960
CONFISCATE,RESTRAINT,2,2009,4,961
CONFISCATE,POTDANGER,2,2010,1,962
CONFISCATE,EVICTION,5,2010,7,963
QUARANTINE,OWNER,1,2009,9,964
CONFISCATE,UNPERMITED,29,2009,4,965
CONFISCATE,RESTRAINT,1,2010,1,966
CONFISCATE,NEGLECT,18,2010,7,967
QUARANTINE,STRAY,2,2009,9,968
EUTH REQ,FIELD OWN,4,2009,4,969
EUTH REQ,,1,2010,1,970
CONFISCATE,RESTRAINT,6,2010,7,971
RETURN,FIELD,1,2009,9,972
EUTH REQ,OTC OWNED,56,2009,4,973
EUTH REQ,,5,2010,7,974
RETURN,OTC,17,2009,9,975
OUTSURGERY,,82,2009,4,976
EUTH REQ,FIELD OWN,11,2010,7,977
STRAY,FIELD,426,2009,9,978
OWNER SUR,FIELD,53,2009,4,979
EUTH REQ,OTC OWNED,48,2010,7,980
STRAY,OTC,487,2009,9,981
OWNER SUR,OTC,165,2009,4,982
OUTSURGERY,,42,2010,7,983
CONFISCATE,CHAINING,8,2009,10,984
QUARANTINE,MAS,13,2009,4,985
OUTSURGERY,NEUTER,5,2010,7,986
CONFISCATE,DANGER DOG,2,2009,10,987
QUARANTINE,STRAY,1,2009,4,988
OWNER SUR,FIELD,98,2010,7,989
CONFISCATE,NEGLECT,74,2009,10,990
RETURN,,2,2009,4,991
OWNER SUR,OTC,279,2010,7,992
CONFISCATE,RESTRAINT,4,2009,10,993
RETURN,OTC,25,2009,4,994
QUARANTINE,MAS,4,2010,7,995
CONFISCATE,UNPERMITED,3,2009,10,996
STRAY,FIELD,387,2009,4,997
QUARANTINE,STRAY,4,2010,7,998
EUTH REQ,FIELD OWN,3,2009,10,999
STRAY,OTC,316,2009,4,1000
RETURN,FIELD,4,2010,7,1001
EUTH REQ,OTC OWNED,48,2009,10,1002
TRANSFER,AN CONTROL,1,2009,4,1003
OUTSURGERY,,63,2009,10,1004
CONFISCATE,,5,2009,5,1005
OWNER SUR,,3,2009,10,1006
CONFISCATE,ABANDONED,2,2009,5,1007
OWNER SUR,FIELD,25,2009,10,1008
RETURN,OTC,17,2010,7,1009
CONFISCATE,CHAINING,17,2009,5,1010
CONFISCATE,NEGLECT,32,2009,5,1011
CONFISCATE,POTDANGER,3,2009,5,1012
CONFISCATE,RESTRAINT,10,2009,5,1013
CONFISCATE,UNPERMITED,16,2009,5,1014
EUTH REQ,FIELD OWN,6,2009,5,1015
EUTH REQ,OTC OWNED,72,2009,5,1016
INVESTIGAT,POTDANGER,1,2009,5,1017
OUTSURGERY,,62,2009,5,1018
OWNER SUR,,1,2009,5,1019
OWNER SUR,FIELD,48,2009,5,1020
OWNER SUR,OTC,245,2009,5,1021
QUARANTINE,MAS,20,2009,5,1022
QUARANTINE,STRAY,3,2009,5,1023
RETURN,FIELD,1,2009,5,1024
RETURN,OTC,24,2009,5,1025
STRAY,FIELD,429,2009,5,1026
STRAY,OTC,471,2009,5,1027
CONFISCATE,,8,2009,6,1028
CONFISCATE,CHAINING,13,2009,6,1029
CONFISCATE,CRUELTY,3,2009,6,1030
CONFISCATE,NEGLECT,58,2009,6,1031
CONFISCATE,POLICE,2,2009,6,1032
CONFISCATE,POTDANGER,1,2009,6,1033
OUTSURGERY,,84,2009,1,1034
EUTH REQ,FIELD OWN,8,2010,1,1035
STRAY,FIELD,565,2010,7,1036
OWNER SUR,OTC,265,2009,10,1037
STRAY,OTC,505,2010,7,1038
QUARANTINE,MAS,13,2009,10,1039
CONFISCATE,ABANDONED,2,2010,8,1040
QUARANTINE,STRAY,1,2009,10,1041
CONFISCATE,BITE,2,2010,8,1042
RETURN,,1,2009,10,1043
CONFISCATE,CHAINING,5,2010,8,1044
RETURN,FIELD,1,2009,10,1045
CONFISCATE,CRUELTY,1,2010,8,1046
RETURN,OTC,21,2009,10,1047
CONFISCATE,NEGLECT,13,2010,8,1048
STRAY,,5,2009,10,1049
CONFISCATE,POTDANGER,1,2010,8,1050
CONFISCATE,RESTRAINT,3,2010,8,1051
EUTH REQ,,7,2010,8,1052
EUTH REQ,FIELD OWN,31,2010,8,1053
EUTH REQ,OTC OWNED,40,2010,1,1054
INVESTIGAT,POTDANGER,1,2010,1,1055
KHS,,1,2010,1,1056
OUTSURGERY,,29,2010,1,1057
OWNER SUR,FIELD,63,2010,1,1058
OWNER SUR,OTC,144,2010,1,1059
RETURN,FIELD,2,2010,1,1060
RETURN,OTC,21,2010,1,1061
STRAY,FIELD,270,2010,1,1062
STRAY,OTC,208,2010,1,1063
TRANSFER,AN CONTROL,1,2010,1,1064
CONFISCATE,BITE,1,2010,2,1065
CONFISCATE,CHAINING,1,2010,2,1066
CONFISCATE,DANGER DOG,2,2010,2,1067
CONFISCATE,NEGLECT,19,2010,2,1068
CONFISCATE,POLICE,1,2010,2,1069
CONFISCATE,POTDANGER,1,2010,2,1070
CONFISCATE,RESTRAINT,4,2010,2,1071
EUTH REQ,FIELD OWN,2,2010,2,1072
EUTH REQ,OTC OWNED,29,2010,2,1073
KHS,STRAY,3,2010,2,1074
OUTSURGERY,,49,2010,2,1075
OWNER SUR,,1,2010,2,1076
OWNER SUR,FIELD,37,2010,2,1077
OWNER SUR,OTC,169,2010,2,1078
QUARANTINE,MAS,5,2010,2,1079
QUARANTINE,OWNER,1,2010,2,1080
QUARANTINE,STRAY,4,2010,2,1081
RETURN,FIELD,5,2010,2,1082
RETURN,OTC,14,2010,2,1083
STRAY,FIELD,258,2010,2,1084
STRAY,OTC,199,2010,2,1085
TRANSFER,AN CONTROL,1,2010,2,1086
CONFISCATE,ABANDONED,5,2010,3,1087
CONFISCATE,CHAINING,7,2010,3,1088
CONFISCATE,CRUELTY,2,2010,3,1089
CONFISCATE,NEGLECT,8,2010,3,1090
CONFISCATE,OWNER DIED,1,2010,3,1091
CONFISCATE,POLICE,1,2010,3,1092
CONFISCATE,POTDANGER,2,2010,3,1093
EUTH REQ,FIELD OWN,11,2010,3,1094
EUTH REQ,OTC OWNED,52,2010,3,1095
FOSTER,RETURN,1,2010,3,1096
OUTSURGERY,,49,2010,3,1097
OUTSURGERY,NEUTER,4,2010,3,1098
OWNER SUR,FIELD,63,2010,3,1099
OWNER SUR,OTC,169,2010,3,1100
QUARANTINE,MAS,7,2010,3,1101
QUARANTINE,OWNER,2,2010,3,1102
OWNER SUR,FIELD,55,2009,1,1103
OWNER SUR,OTC,179,2009,1,1104
QUARANTINE,MAS,3,2009,1,1105
QUARANTINE,OWNER,2,2009,1,1106
QUARANTINE,STRAY,4,2009,1,1107
RETURN,,1,2009,1,1108
RETURN,FIELD,2,2009,1,1109
RETURN,OTC,31,2009,1,1110
STRAY,FIELD,293,2009,1,1111
STRAY,OTC,217,2009,1,1112
CONFISCATE,ABANDONED,5,2009,2,1113
CONFISCATE,BITE,1,2009,2,1114
CONFISCATE,CHAINING,11,2009,2,1115
CONFISCATE,CRUELTY,2,2009,2,1116
CONFISCATE,EVICTION,1,2009,2,1117
CONFISCATE,NEGLECT,17,2009,2,1118
CONFISCATE,UNPERMITED,46,2009,2,1119
EUTH REQ,FIELD OWN,13,2009,2,1120
EUTH REQ,OTC OWNED,36,2009,2,1121
OUTSURGERY,,103,2009,2,1122
OWNER SUR,,1,2009,2,1123
OWNER SUR,FIELD,44,2009,2,1124
OWNER SUR,OTC,157,2009,2,1125
QUARANTINE,MAS,2,2009,2,1126
QUARANTINE,OWNER,1,2009,2,1127
QUARANTINE,STRAY,1,2009,2,1128
RETURN,FIELD,2,2009,2,1129
RETURN,OTC,12,2009,2,1130
STRAY,FIELD,314,2009,2,1131
STRAY,OTC,194,2009,2,1132
CONFISCATE,,1,2009,3,1133
CONFISCATE,ABANDONED,3,2009,3,1134
CONFISCATE,BITE,1,2009,3,1135
CONFISCATE,CHAINING,15,2009,3,1136
CONFISCATE,NEGLECT,15,2009,3,1137
CONFISCATE,OWNER DIED,1,2009,3,1138
CONFISCATE,POLICE,3,2009,3,1139
CONFISCATE,POTDANGER,10,2009,3,1140
CONFISCATE,UNPERMITED,28,2009,3,1141
EUTH REQ,FIELD OWN,7,2009,3,1142
EUTH REQ,OTC OWNED,46,2009,3,1143
OUTSURGERY,,93,2009,3,1144
OWNER SUR,FIELD,64,2009,3,1145
OWNER SUR,OTC,133,2009,3,1146
QUARANTINE,MAS,10,2009,3,1147
QUARANTINE,OWNER,6,2009,3,1148
QUARANTINE,STRAY,2,2009,3,1149
RETURN,,1,2009,3,1150
CONFISCATE,RESTRAINT,5,2009,6,1151
CONFISCATE,UNPERMITED,13,2009,6,1152
EUTH REQ,,1,2009,6,1153
EUTH REQ,FIELD OWN,10,2009,6,1154
EUTH REQ,OTC OWNED,76,2009,6,1155
INVESTIGAT,POTDANGER,1,2009,6,1156
MED OBSERV,,1,2009,6,1157
OUTSURGERY,,91,2009,6,1158
OUTSURGERY,STRAY,1,2009,6,1159
OWNER SUR,,2,2009,6,1160
OWNER SUR,FIELD,40,2009,6,1161
OWNER SUR,OTC,287,2009,6,1162
QUARANTINE,,2,2009,6,1163
QUARANTINE,MAS,14,2009,6,1164
QUARANTINE,STRAY,1,2009,6,1165
RETURN,FIELD,2,2009,6,1166
RETURN,OTC,27,2009,6,1167
STRAY,FIELD,563,2009,6,1168
STRAY,OTC,503,2009,6,1169
CONFISCATE,,6,2009,7,1170
CONFISCATE,BITE,1,2009,7,1171
CONFISCATE,CHAINING,6,2009,7,1172
CONFISCATE,DANGER DOG,1,2009,7,1173
CONFISCATE,EVICTION,1,2009,7,1174
CONFISCATE,NEGLECT,86,2009,7,1175
CONFISCATE,RESTRAINT,30,2009,7,1176
CONFISCATE,UNPERMITED,8,2009,7,1177
EUTH REQ,,1,2009,7,1178
EUTH REQ,FIELD OWN,8,2009,7,1179
EUTH REQ,OTC OWNED,78,2009,7,1180
INVESTIGAT,POTDANGER,1,2009,7,1181
KHS,STRAY,1,2009,7,1182
OUTSURGERY,,50,2009,7,1183
OWNER SUR,,1,2009,7,1184
OWNER SUR,FIELD,37,2009,7,1185
OWNER SUR,OTC,220,2009,7,1186
QUARANTINE,,1,2009,7,1187
QUARANTINE,MAS,35,2009,7,1188
QUARANTINE,STRAY,4,2009,7,1189
RETURN,FIELD,2,2009,7,1190
RETURN,OTC,19,2009,7,1191
STRAY,,1,2009,7,1192
STRAY,FIELD,537,2009,7,1193
STRAY,OTC,547,2009,7,1194
CONFISCATE,,7,2009,8,1195
CONFISCATE,CHAINING,11,2009,8,1196
CONFISCATE,NEGLECT,15,2009,8,1197
CONFISCATE,POLICE,2,2009,8,1198
CONFISCATE,POTDANGER,1,2009,8,1199
CONFISCATE,RESTRAINT,5,2009,8,1200
CONFISCATE,BITE,2,2011,11,1201
CONFISCATE,CHAINING,2,2011,11,1202
CONFISCATE,DANGER DOG,1,2011,11,1203
CONFISCATE,NEGLECT,5,2011,11,1204
CONFISCATE,POLICE,1,2011,11,1205
CONFISCATE,RESTRAINT,6,2011,11,1206
FOSTER,RETURN,11,2011,11,1207
OWNER SUR,,3,2011,11,1208
OWNER SUR,EUTH REQ,71,2011,11,1209
OWNER SUR,FIELD,46,2011,11,1210
OWNER SUR,OTC,159,2011,11,1211
CONFISCATE,CRUELTY,2,2011,1,1212
RETURN,ADOPTION,31,2011,11,1213
STRAY,FIELD,295,2011,11,1214
STRAY,OTC,155,2011,11,1215
CONFISCATE,CHAINING,1,2012,2,1216
EUTH REQ,OTC OWNED,49,2011,3,1217
CONFISCATE,NEGLECT,10,2011,1,1218
CONFISCATE,,1,2011,12,1219
OWNER SUR,OTC,275,2011,5,1220
QUARANTINE,STRAY,2,2010,10,1221
CONFISCATE,NEGLECT,7,2012,2,1222
INVESTIGAT,NUISANCE,1,2011,3,1223
CONFISCATE,OWNER DIED,4,2011,1,1224
CONFISCATE,ABANDONED,3,2011,12,1225
RETURN,ADOPTION,18,2011,5,1226
CONFISCATE,ABANDONED,1,2011,8,1227
RETURN,ADOPTION,1,2010,10,1228
CONFISCATE,POLICE,1,2012,2,1229
OUTSURGERY,,46,2011,3,1230
CONFISCATE,POLICE,1,2011,1,1231
CONFISCATE,BITE,2,2011,12,1232
RETURN,K HUMANE S,3,2011,5,1233
CONFISCATE,BITE,3,2011,8,1234
OUTSURGERY,NEUTER,6,2011,3,1235
RETURN,FIELD,2,2010,10,1236
OWNER SUR,,4,2011,3,1237
CONFISCATE,RESTRAINT,9,2011,1,1238
CONFISCATE,CRUELTY,1,2011,8,1239
STRAY,,4,2011,5,1240
RETURN,OTC,16,2010,10,1241
OWNER SUR,EUTH REQ,2,2011,3,1242
EUTH REQ,FIELD OWN,5,2011,1,1243
CONFISCATE,RESTRAINT,2,2012,2,1244
CONFISCATE,CHAINING,1,2011,12,1245
DISPOSAL,OTHER,2,2012,2,1246
EUTH REQ,OTC OWNED,35,2011,1,1247
STRAY,EUTH REQ,3,2011,5,1248
CONFISCATE,NEGLECT,9,2011,8,1249
CONFISCATE,CRUELTY,2,2011,12,1250
STRAY,,1,2010,10,1251
OWNER SUR,FIELD,39,2011,3,1252
DISPOSAL,OWNER,2,2012,2,1253
FOSTER,RETURN,1,2011,1,1254
STRAY,FIELD,460,2011,5,1255
CONFISCATE,POLICE,1,2011,8,1256
CONFISCATE,DANGER DOG,2,2011,12,1257
STRAY,FIELD,421,2010,10,1258
OWNER SUR,OTC,192,2011,3,1259
ET REQUEST,OLD,8,2012,2,1260
OUTSURGERY,,21,2011,1,1261
STRAY,OTC,292,2011,5,1262
CONFISCATE,RESTRAINT,4,2011,8,1263
CONFISCATE,HOSPITAL,1,2011,12,1264
STRAY,OTC,367,2010,10,1265
QUARANTINE,MAS,1,2011,3,1266
ET REQUEST,SICK,9,2012,2,1267
OUTSURGERY,NEUTER,7,2011,1,1268
CONFISCATE,ABANDONED,1,2011,6,1269
FOSTER,,12,2011,8,1270
CONFISCATE,NEGLECT,5,2011,12,1271
CONFISCATE,BITE,2,2010,11,1272
QUARANTINE,OWNER,2,2011,3,1273
FOSTER,,7,2012,2,1274
OWNER SUR,FIELD,52,2011,1,1275
CONFISCATE,BITE,1,2011,6,1276
FOSTER,RETURN,6,2011,8,1277
CONFISCATE,POTDANGER,1,2011,12,1278
CONFISCATE,CHAINING,4,2010,11,1279
RETURN,,3,2011,3,1280
FOSTER,RETURN,63,2012,2,1281
OWNER SUR,OTC,162,2011,1,1282
CONFISCATE,CHAINING,2,2011,6,1283
OWNER SUR,EUTH REQ,64,2011,8,1284
FOSTER,RETURN,20,2011,12,1285
